Date,close,ret,rf,state,lam,p_bear,raw_state,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2018-08-16,22.36333274841309,-0.0095662528859213,7.996032162318154e-05,1.0,10.0,0.8939597315436242,1.0,0.929507936432666,0.10604026845637583,3,3,
2018-08-17,20.36666679382324,-0.0892830231098509,7.916666685588778e-05,1.0,10.0,0.8939597315436242,1.0,0.8568902020085796,0.10604026845637583,3,3,
2018-08-20,20.562667846679688,0.0096236195564358,7.908730279831658e-05,1.0,10.0,0.8939597315436242,1.0,0.8860892617379506,0.10604026845637583,3,3,
2018-08-21,21.459999084472656,0.0436388529194602,8.075397165994795e-05,1.0,10.0,0.8939597315436242,1.0,0.92735464625553,0.10604026845637583,3,3,
2018-08-22,21.44266700744629,-0.0008076457486387,8.075397165994795e-05,1.0,10.0,0.8939597315436242,1.0,0.9329196175646446,0.10604026845637583,3,3,
2018-08-23,21.34000015258789,-0.0047879703967209,8.06746028718494e-05,1.0,10.0,0.8939597315436242,1.0,0.9390215823216224,0.10604026845637583,3,3,
2018-08-24,21.521333694458008,0.0084973542911679,8.12698451299516e-05,1.0,10.0,0.8939597315436242,1.0,0.9494114438937138,0.10604026845637583,3,3,
2018-08-27,21.284666061401367,-0.0109968850637535,8.174602947537861e-05,1.0,10.0,0.8939597315436242,1.0,0.9421946646264838,0.10604026845637583,3,3,
2018-08-28,20.790666580200195,-0.0232091722640184,8.246032018510122e-05,1.0,10.0,0.8939597315436242,1.0,0.9315889885282486,0.10604026845637583,3,3,
2018-08-29,20.333999633789062,-0.0219649978344627,8.253967951214503e-05,1.0,10.0,0.8939597315436242,1.0,0.91478595024883,0.10604026845637583,3,3,
2018-08-30,20.209999084472656,-0.0060981878405443,8.16666701483348e-05,1.0,10.0,0.8939597315436242,1.0,0.9166218241592196,0.10604026845637583,3,3,
2018-08-31,20.11066627502441,-0.0049150328524538,8.154762169671437e-05,1.0,10.0,0.8939597315436242,1.0,0.9193261663663072,0.10604026845637583,3,3,
2018-09-04,19.26333236694336,-0.0421335572125405,8.206349516671802e-05,1.0,10.0,0.8939597315436242,1.0,0.8772304873928655,0.10604026845637583,3,3,
