Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2022-03-16,132.10903930664062,0.0315985282926198,1.7182539616312296e-05,1.0,,0.6064516129032258,1,0.6359404611427769,0.0545454545454545,0.3935483870967742,3,3,-0.035940461142776936
2022-03-17,132.6626434326172,0.0041905090588962,1.4285714853377567e-05,1.0,,0.7405982112591645,1,0.6787168194229829,0.2432432432432432,0.2594017887408356,3,3,-0.07871681942298292
2022-03-18,134.92904663085938,0.0170839592789613,1.519841215913258e-05,1.0,,0.8174386920980926,1,0.7274868525652589,0.2448979591836735,0.18256130790190736,3,3,-0.12748685256525893
2022-03-21,134.9052734375,-0.0001761903307923,1.8055556075913563e-05,1.0,,0.05555555555555558,0,0.245038748344169,0.0,0.9444444444444444,2,3,0.354961251655831
2022-03-22,138.638671875,0.0276742216398948,2.0634919878036257e-05,1.0,,0.013661202185792365,0,0.2423527365594744,0.0,0.9863387978142076,1,3,0.35764726344052555
2022-03-23,137.0601348876953,-0.0113859788611357,1.9047618621871583e-05,0.0,,0.05909090909090909,0,0.258278459742825,0.2309278350515464,0.05909090909090909,2,2,-0.341721540257175
2022-03-24,140.32769775390625,0.0238403593348883,1.916666707349202e-05,0.0,,0.05977165883143049,0,0.2879586128057707,0.2790697674418604,0.05977165883143049,2,2,-0.3120413871942293
2022-03-25,140.4278106689453,0.0007134223438527,2.0634919878036257e-05,0.0,,0.03253424657534247,0,0.2076171051557959,0.2309278350515464,0.03253424657534247,2,2,-0.3923828948442041
2022-03-28,140.2122039794922,-0.0015353560553714,2.015873080208188e-05,0.0,,0.03253424657534247,0,0.2074406478339896,0.2309278350515464,0.03253424657534247,2,2,-0.39255935216601034
2022-03-29,141.25296020507812,0.0074227221029787,2.2023809807641167e-05,0.0,,0.03168,0,0.1716286078265982,0.2309278350515464,0.03168,2,2,-0.4283713921734018
2022-03-30,140.6909637451172,-0.0039786526182885,2.083333238722786e-05,0.0,,0.03168,0,0.1523326982077992,0.2309278350515464,0.03168,2,2,-0.44766730179220077
2022-03-31,137.84519958496094,-0.0202270571215347,1.9563492091875222e-05,0.0,,0.03253424657534247,0,0.2029270460501042,0.2309278350515464,0.03253424657534247,2,2,-0.3970729539498958
2022-04-01,138.91867065429688,0.0077875114444903,1.984126984126984e-05,0.0,,0.03253424657534247,0,0.2047990284257171,0.2309278350515464,0.03253424657534247,2,2,-0.3952009715742829
2022-04-04,141.71485900878906,0.0201282400797699,2.1349205857231504e-05,0.0,,0.03168,0,0.1955351348685167,0.2309278350515464,0.03168,2,2,-0.4044648651314833
